Time (s),Voltage (V)
0.101,4.8087110697
0.223,4.6499869064
0.344,4.4828047867
0.465,4.3078974640
0.586,4.1283869777
0.707,3.9503797774
0.828,3.7786951296
0.950,3.6180685618
1.072,3.4726535222
1.194,3.3469415590
1.315,3.2411365590
1.436,3.1542486939
1.557,3.0846565365
1.678,3.0291016726
1.799,2.9863410687
1.921,2.9535913161
2.043,2.9286768396
2.165,2.9101344274
2.286,2.8961909930
2.407,2.8865943050
2.528,2.8789577495
2.650,2.8731674787
2.772,2.8702140254
2.894,2.8680235793
3.015,2.8661971637
3.136,2.8656245044
3.257,2.8650818043
3.379,2.8649680646
3.501,2.8656340018
3.623,2.8664032494
3.744,2.8671406691
3.865,2.8678298232
3.986,2.8683816886
4.107,2.8690150788
4.228,2.8699508469
4.350,2.8708563626
4.472,2.8718561780
4.594,2.8727072604
4.715,2.8737755091
4.836,2.8743838323
4.957,2.8747300335
5.078,2.8758788237
5.199,2.8760853448
5.321,2.8771034703
5.443,2.8773745745
5.565,2.8768003666
5.686,2.8804089717
5.807,2.8838741366
5.928,2.8850961962
6.049,2.8853360895
6.170,2.8843927357
6.292,2.8867599517
6.414,2.8853521081
6.536,2.8866737408
6.657,2.8902338240
6.778,2.8912430950
6.899,2.8920671170
7.020,2.8925274660
7.141,2.8928034008
7.263,2.8940466523
7.385,2.8950904548
7.507,2.8955882834
7.628,2.8971340397
7.750,2.8972200030
7.872,2.8979137570
7.994,2.8986884602
8.115,2.8990463020
8.236,2.8992920954
8.357,2.9001316775
8.478,2.8997794131
8.599,2.8991141537
8.721,2.9004997686
8.842,2.9015576557
8.963,2.9028485552
9.085,2.9030325266
9.207,2.9035276274
9.328,2.9043437059
9.449,2.9046870044
9.570,2.9042351858
9.692,2.9041274295
9.814,2.9038317803
9.936,2.9039231625
10.057,2.9037899991
10.179,2.9041222725
10.302,2.9045160420
10.424,2.9060254870
10.546,2.9064813999
10.668,2.9067385566
10.791,2.9063447085
10.913,2.9063406061
11.036,2.9064661648
11.158,2.9068615568
11.280,2.9052073419
11.403,2.8986711326
11.526,2.8984279526
11.649,2.9036649335
11.772,2.9062232523
11.894,2.9070525108
12.017,2.9082443382
12.139,2.9086066974
12.261,2.9079290264
12.383,2.9061547122
12.506,2.9059994454
12.628,2.8995077243
12.750,2.9005627490
12.873,2.9015342239
12.995,2.9016674564
13.117,2.9020788168
13.240,2.9018153473
13.362,2.9021082180
13.484,2.9024960453
13.607,2.9025754721
13.729,2.9024346571
13.851,2.9028072454
13.974,2.9029412054
14.096,2.9032845006
14.218,2.9031762792
14.341,2.9025236144
14.463,2.9026026975
