Time (s),Voltage (V)
0.101,4.8817635282
0.222,4.7208670332
0.343,4.5490164444
0.464,4.3666847563
0.585,4.1763203279
0.706,3.9806584995
0.828,3.7840309793
0.949,3.5928981226
1.070,3.4120766026
1.192,3.2435977872
1.313,3.0916894394
1.434,2.9581680491
1.555,2.8420902570
1.676,2.7429278373
1.797,2.6600986917
1.918,2.5910072553
2.039,2.5347015673
2.161,2.4887663934
2.283,2.4519356669
2.405,2.4227165350
2.526,2.3997955968
2.647,2.3818557606
2.768,2.3679850031
2.889,2.3570218340
3.010,2.3488173294
3.132,2.3426394637
3.254,2.3381293100
3.376,2.3343158061
3.497,2.3320904773
3.618,2.3302234943
3.739,2.3292847541
3.860,2.3287119837
3.981,2.3285356189
4.103,2.3289146541
4.225,2.3290729203
4.347,2.3296225777
4.468,2.3303921677
4.589,2.3311072738
4.710,2.3319918680
4.832,2.3327387735
4.954,2.3336911335
5.076,2.3342994392
5.197,2.3353218111
5.318,2.3363204711
5.439,2.3379457202
5.560,2.3424229543
5.681,2.3422807499
5.803,2.3457650640
5.925,2.3472075223
6.047,2.3480995221
6.168,2.3490253658
6.289,2.3495028259
6.410,2.3503237583
6.532,2.3511895017
6.654,2.3515597722
6.776,2.3519525794
6.897,2.3523269460
7.018,2.3526373520
7.139,2.3516327464
7.260,2.3533531858
7.381,2.3547797034
7.503,2.3553737951
7.625,2.3556733371
7.747,2.3560866031
7.868,2.3563544054
7.989,2.3568043307
8.110,2.3568984706
8.231,2.3569998084
8.352,2.3561553181
8.474,2.3569973063
8.596,2.3581011042
8.718,2.3582975079
8.839,2.3581491317
8.960,2.3587893929
9.081,2.3587330465
9.203,2.3589155054
9.325,2.3577819483
9.447,2.3582143091
9.568,2.3587207444
9.689,2.3584741507
9.810,2.3578598819
9.931,2.3576867335
10.052,2.3572734353
10.175,2.3571756874
10.297,2.3572180227
10.419,2.3565050739
10.542,2.3544013000
10.664,2.3564645958
10.786,2.3571123273
10.909,2.3570337610
11.032,2.3569417772
11.155,2.3547571336
11.278,2.3516405595
11.400,2.3510563179
11.523,2.3508804347
11.645,2.3507952993
11.767,2.3506065982
11.889,2.3508649160
12.012,2.3509937028
12.134,2.3507636195
12.256,2.3508855709
12.379,2.3506866506
12.501,2.3506823541
12.623,2.3507148239
12.746,2.3506347929
12.868,2.3503035746
12.990,2.3504008698
13.113,2.3501462387
13.235,2.3501079866
13.357,2.3500290821
13.480,2.3499319845
13.602,2.3498173594
13.724,2.3496201155
13.847,2.3493779259
13.969,2.3495529024
14.091,2.3492469508
14.214,2.3491186373
14.336,2.3491438205
14.458,2.3488903826
14.580,2.3489701755
14.703,2.3486819409
14.825,2.3485928685
