Filament,Infill Percentage,Layer Height,Sample No.,Leak Rate,A,B,C
PAHT+CF,50,0.2mm,0,2.3075883036677635e-05,43.14943301380777,190.3598470411449,26.011438956267636
PAHT+CF,50,0.2mm,1,0.0007536616163563458,34.75597884122808,176.83250792766805,142.782383130283
PAHT+CF,50,0.2mm,2,2.7599508063608164e-05,43.158896735292934,189.9259805924618,26.734458776383335
PAHT+CF,75,0.2mm,0,5.422395346418974e-05,56.565639164575536,226.37356238138813,30.989895867125295
PAHT+CF,75,0.2mm,1,0.0005018494313377503,32.708210219944,239.3344603841474,102.53474995308632
PAHT+CF,75,0.2mm,2,0.0005538888427997234,37.5820413170649,204.34677720043535,110.85231069036371
PAHT+CF,90,0.2mm,0,3.057828420335866e-05,50.98957405516938,177.02283908750354,27.210562382651677
PC,50,0.2mm,0,0.006122755405244912,68.53955385587477,193.64334304039622,1000.9351261883454
PC,50,0.2mm,1,0.012185462804652299,138.94774888360465,256.94804546326264,1969.9494868476804
PC,50,0.2mm,2,0.01722514893220425,477.26637800570643,1119.1669765143142,2775.4523602488985
PC,75,0.2mm,0,0.0019923873357693047,54.199862149671894,346.10022646224616,340.7703333893626
PC,75,0.2mm,1,0.0027731450143830077,44.347851681467226,198.03424404887878,465.5603575369367
PC,75,0.2mm,2,0.0032031040325097653,43.78914967550391,206.73712462971042,534.2815468690395
PC,90,0.2mm,0,0.0012669608158840284,46.5484155038247,277.8265846597122,224.82399637156936
PC,90,0.2mm,1,0.0037880554760407214,55.79975065127167,192.481657363248,627.7754781653626
PC,90,0.2mm,2,0.0006429349778969118,49.084471181139484,195.94622790306923,125.08472831929646
PPS+CF,50,0.2mm,0,0.026875250482192876,457.01081431654234,199.1658345138225,4317.846932131739
PPS+CF,50,0.2mm,1,0.015760366245780318,223.690458161868,263.21389420747676,2541.333283592042
PPS+CF,50,0.2mm,2,0.023805838437196643,475.73363560732975,424.9156499967318,3827.2568121677086
PPS+CF,75,0.2mm,0,0.004967492510209851,82.71093855347092,236.04288254948165,816.287202104911
PPS+CF,75,0.2mm,1,0.004975972805141415,110.17837363453336,202.03092794397972,817.6426242010053
PPS+CF,75,0.2mm,2,0.017487289114709974,294.33229366565445,214.44841377551708,2817.350737429155
PPS+CF,90,0.2mm,0,0.00033568448797434517,43.12171084913728,216.72588522602513,75.9762826298862
PPS+CF,90,0.2mm,1,0.0007721010426127871,35.30365649597364,159.13432688303655,145.72959263053974
PPS+CF,90,0.2mm,2,0.0007798262889164224,25.71518407558658,155.1724286082575,146.96433383025274
PC+ABS,50,0.2mm,0,0.01563591975135615,293.2896634603282,206.2447124967901,2521.4427574151528
PC+ABS,50,0.2mm,1,0.013848000234050634,137.1254446179196,295.2465272505415,2235.676090176437
PC+ABS,50,0.2mm,2,0.01708510444780629,226.10943681819532,279.90343118729464,2753.0687768805137
PC+ABS,75,0.2mm,0,0.011677301498974543,101.4374862850636,283.01111073675247,1888.7290732118065
PC+ABS,75,0.2mm,1,0.015391978464407837,453.6488528546093,258.6371892230298,2482.4531452439073
PC+ABS,75,0.2mm,2,0.011269338954463989,165.34857192584647,229.34881929432882,1823.523623204357
PC+ABS,90,0.2mm,0,0.012213757344191015,131.5628802657375,264.5895906033782,1974.4718583452623
PC+ABS,90,0.2mm,1,0.01335596490731577,190.97222455725006,253.04429906942377,2157.0331232398507
PC+ABS,90,0.2mm,2,0.013025551518998743,196.68118713736837,189.02734005807173,2104.222506276115
ABS+CF,50,0.2mm,0,0.006050178172241657,73.07325382735151,172.5557895125998,989.3349653354654
ABS+CF,50,0.2mm,1,0.0029296195472793365,38.737609223032905,222.82091500987266,490.5699876353355
ABS+CF,50,0.2mm,2,0.0039107075484922,45.77966063301092,212.4059591931851,647.3791983748733
ABS+CF,75,0.2mm,0,0.002469791154983888,42.0397333760743,202.8331071402346,417.0747179119874
ABS+CF,75,0.2mm,1,0.0017616915840198955,37.5453039918638,198.4830480185432,303.8977809699386
ABS+CF,75,0.2mm,2,0.005195431668520778,78.90274734965581,250.17855583552975,852.7191628130066
ABS+CF,90,0.2mm,0,0.0065104189861845,99.02813843728406,212.56398268964247,1062.8961532159408
ABS+CF,90,0.2mm,1,0.0031838119787054543,48.49649092709589,204.65933294192902,531.1980602431111
ABS+CF,90,0.2mm,2,0.002068276601955928,34.6331017732527,235.89243041352103,352.8998629724536
ABS+CF+AcetoneBath,50,0.2mm,0,0.00034139531376122965,88.08113788022068,289.32106492921287,76.88905506539177
ABS+CF+AcetoneBath,50,0.2mm,1,0.0001717453384840685,53.688813909378325,283.54812884688374,49.77356828713502
ABS+CF+AcetoneBath,50,0.2mm,2,7.197680307639426e-05,45.583377383769296,220.89657726828744,33.82736848184083
ABS+CF+AcetoneBath,75,0.2mm,0,0.00017849447480199743,69.60904351620125,229.98653060254657,50.852295922046096
ABS+CF+AcetoneBath,75,0.2mm,1,0.00012954885611819286,59.90544307363414,223.2631414680378,43.02922212491735
ABS+CF+AcetoneBath,75,0.2mm,2,0.00010781810652270513,56.740987275471134,227.0103609279162,39.55595398930223
ABS+CF+AcetoneBath,90,0.2mm,0,0.00012772194524301653,51.072804299672,233.80592389313628,42.73722339282224
ABS+CF+AcetoneBath,90,0.2mm,1,0.00011919431730888827,58.99921738763589,222.3839221606554,41.37423597051357
ABS+CF+AcetoneBath,90,0.2mm,2,0.0001102632911601587,64.13761040275038,218.80310057953994,39.946772623958374
