Time (s),Voltage (V)
0.101,4.8288068863
0.223,4.6719238418
0.345,4.5045827514
0.467,4.3310205896
0.588,4.1559483538
0.709,3.9840473684
0.830,3.8203036873
0.952,3.6684724478
1.074,3.5320778959
1.196,3.4151522674
1.317,3.3174268887
1.438,3.2382325182
1.559,3.1750236909
1.680,3.1256277312
1.801,3.0874632068
1.923,3.0583187081
2.045,3.0362664761
2.167,3.0199663386
2.288,3.0077367441
2.409,2.9992458966
2.530,2.9931998643
2.652,2.9884313225
2.774,2.9851537950
2.896,2.9827601257
3.017,2.9813585376
3.138,2.9805295959
3.259,2.9802332180
3.380,2.9803093393
3.501,2.9802327336
3.623,2.9804270026
3.745,2.9810825113
3.867,2.9817562849
3.988,2.9825678773
4.109,2.9831258700
4.230,2.9833226816
4.351,2.9835884088
4.472,2.9847575283
4.594,2.9851829356
4.716,2.9860089691
4.838,2.9867945836
4.959,2.9874961433
5.080,2.9881697451
5.201,2.9887838520
5.323,2.9890752698
5.445,2.9899397696
5.567,2.9905017022
5.688,2.9909850472
5.809,2.9918494062
5.930,2.9920869513
6.051,2.9925886423
6.172,2.9929822996
6.294,2.9934055427
6.416,2.9940915241
6.538,2.9942579216
6.659,2.9948472210
6.780,2.9952881617
6.901,2.9953348136
7.022,2.9957493238
7.143,2.9965308072
7.265,2.9967303301
7.387,2.9973130892
7.509,2.9977931870
7.630,2.9978361358
7.751,2.9983992855
7.872,2.9985095442
7.994,2.9989200239
8.116,2.9994353396
8.238,2.9997122141
8.359,2.9999366405
8.480,3.0005192548
8.601,3.0006391044
8.722,3.0007904457
8.843,3.0010735027
8.965,3.0015954068
9.087,3.0016789783
9.209,3.0018931128
9.330,3.0022547712
9.451,3.0027934038
9.572,3.0026211544
9.693,3.0028278188
9.814,3.0031059424
9.936,3.0032339253
10.058,3.0035652715
10.181,3.0037864649
10.304,3.0041128620
10.426,3.0042808974
10.548,3.0045669306
10.671,3.0045577466
10.793,3.0049007184
10.915,3.0052808754
11.037,3.0054853841
11.160,3.0054502450
11.282,3.0056210882
11.404,3.0059659542
11.527,3.0061544181
11.649,3.0061982105
11.771,3.0065663225
11.894,3.0062349340
12.016,3.0066072924
12.138,3.0066916288
12.261,3.0067221235
12.383,3.0069695434
12.505,3.0071322661
12.628,3.0070769394
12.750,3.0071665087
12.872,3.0074255653
12.995,3.0073976383
13.117,3.0075687037
13.239,3.0078496893
13.361,3.0079887549
13.484,3.0081468457
13.606,3.0081375617
13.728,3.0081980577
13.851,3.0081877860
13.973,3.0082298462
14.095,3.0083068400
14.218,3.0085344139
14.340,3.0085535305
14.462,3.0086800048
14.585,3.0086558701
14.707,3.0089998017
14.829,3.0089058314
14.952,3.0087664089
15.074,3.0091526908
15.196,3.0091674598
15.319,3.0091253188
15.441,3.0090480100
15.563,3.0090066886
15.685,3.0092390634
15.808,3.0091758118
15.930,3.0092573717
16.052,3.0095075768
16.175,3.0094159949
16.297,3.0094226574
16.419,3.0096149821
16.542,3.0096657307
16.664,3.0096058489
16.786,3.0096934706
16.909,3.0096084143
17.031,3.0096389060
17.153,3.0095475095
17.276,3.0098322212
17.398,3.0098427583
17.520,3.0099895238
17.643,3.0099959824
17.765,3.0099405523
17.887,3.0098394318
18.010,3.0100260053
18.132,3.0098675511
18.254,3.0100135534
18.376,3.0099606070
18.499,3.0098021983
18.621,3.0098455130
18.743,3.0098642176
18.866,3.0099659595
18.988,3.0098592868
19.110,3.0096810777
19.233,3.0097981043
19.355,3.0096182453
19.477,3.0099344442
19.600,3.0096698247
19.722,3.0099639677
19.844,3.0098848725
19.967,3.0096902949
20.089,3.0098703059
20.211,3.0100088017
20.334,3.0098076570
20.456,3.0099777415
20.578,3.0098758154
20.700,3.0097402884
20.823,3.0099400307
20.945,3.0098069464
21.067,3.0096907167
21.190,3.0095033342
21.312,3.0097642476
21.434,3.0095833113
21.557,3.0095715680
21.679,3.0095810561
21.801,3.0096755697
21.924,3.0095620153
22.046,3.0094667335
22.168,3.0094469891
22.291,3.0094269123
22.413,3.0092091634
22.535,3.0093974174
22.658,3.0094514765
22.780,3.0094749978
22.902,3.0092693572
23.025,3.0094023481
23.147,3.0090796897
23.269,3.0091155016
23.391,3.0091949996
23.514,3.0090584496
23.636,3.0090053112
23.758,3.0090490385
23.881,3.0088373720
24.003,3.0087312125
24.125,3.0088259659
24.248,3.0087964318
24.370,3.0083854901
24.492,3.0088025570
24.615,3.0085698955
24.737,3.0086898911
24.859,3.0085257817
24.982,3.0084279691
25.104,3.0085438888
25.226,3.0082187125
25.349,3.0083952169
25.471,3.0082009212
25.593,3.0081292974
25.715,3.0082999551
25.838,3.0082792194
25.960,3.0081747510
26.082,3.0081581249
26.205,3.0081550338
26.327,3.0081706188
26.449,3.0079887549
26.572,3.0079476030
26.694,3.0076692525
26.816,3.0077670593
26.939,3.0076009751
27.061,3.0075370240
27.183,3.0076155902
27.306,3.0073321339
27.428,3.0074020407
27.550,3.0075453636
27.673,3.0071615493
27.795,3.0076444596
27.917,3.0074035335
28.040,3.0070551045
28.162,3.0076513465
28.284,3.0067353888
28.406,3.0068844076
28.529,3.0069773180
28.651,3.0071251873
28.773,3.0068348359
28.896,3.0066525250
29.018,3.0066761614
29.140,3.0070551546
29.263,3.0068012747
29.385,3.0068497113
29.507,3.0064038375
29.630,3.0064601056
29.752,3.0065577067
29.874,3.0065153738
29.997,3.0061707942
30.119,3.0061017939
30.241,3.0062385985
30.364,3.0058951295
30.486,3.0059227345
30.608,3.0060659820
30.730,3.0060224108
30.853,3.0060111270
30.975,3.0059530368
31.097,3.0059136285
31.220,3.0055648778
31.342,3.0055783895
31.464,3.0053215220
31.587,3.0052564609
31.709,3.0053194420
31.831,3.0054303044
31.954,3.0052714724
32.076,3.0054447836
32.198,3.0050998264
32.321,3.0049384913
32.443,3.0047781316
32.565,3.0048079042
32.688,3.0048252232
32.810,3.0046211103
32.932,3.0045173589
33.055,3.0045495585
33.177,3.0046073365
33.299,3.0042574819
33.421,3.0043824137
33.544,3.0042384123
33.666,3.0042795200
33.788,3.0041758650
33.911,3.0042766232
34.033,3.0040081761
34.155,3.0041703570
34.278,3.0039108899
34.400,3.0039888928
34.522,3.0037324736
34.645,3.0036147551
34.767,3.0036225097
34.889,3.0033744558
35.012,3.0030675198
35.134,3.0032795420
35.256,3.0030921725
35.379,3.0029870039
35.501,3.0029324423
35.623,3.0028966397
35.746,3.0027727497
35.868,3.0023594521
35.990,3.0024751521
36.112,3.0023444660
36.235,3.0020658473
36.357,3.0021005047
36.479,3.0016008905
36.602,3.0018857100
36.724,3.0018649727
36.846,3.0017578676
36.969,3.0018188408
37.091,3.0018346703
37.213,3.0016119065
37.336,3.0016523503
37.458,3.0014889479
37.580,3.0012552656
37.703,3.0013916971
37.825,3.0014338527
37.947,3.0012662815
38.070,3.0014749424
38.192,3.0013264170
38.314,3.0013911539
38.436,3.0012538886
38.559,3.0012347593
38.681,3.0012547933
38.803,3.0011547452
38.926,3.0008471912
39.048,3.0008264281
39.170,3.0007168619
39.293,3.0008949548
39.415,3.0004311200
39.537,3.0006397503
39.660,3.0006847947
39.782,3.0005509520
39.904,3.0003973998
40.027,3.0001089012
40.149,3.0001666630
40.271,2.9999856793
40.394,3.0002262634
40.516,3.0000179059
40.638,2.9998347144
40.760,2.9997557217
40.883,2.9996831221
41.005,2.9994641991
41.127,2.9994734384
41.250,2.9989885018
41.372,2.9988306043
41.494,2.9988606771
41.617,2.9985941103
41.739,2.9986350163
41.861,2.9988482842
41.984,2.9995384664
42.106,2.9996088240
42.228,2.9994885853
42.351,2.9992286848
42.473,2.9991129672
42.595,2.9990947657
42.718,2.9989202680
42.840,2.9989215114
42.962,2.9989667054
43.085,2.9987892590
43.207,2.9986680734
43.329,2.9984835045
43.451,2.9986844221
43.574,2.9984044202
43.696,2.9985317128
43.818,2.9985811478
43.941,2.9982884227
44.063,2.9979256656
44.185,2.9981556573
44.308,2.9983484685
44.430,2.9981584428
44.552,2.9981171016
44.675,2.9977084352
44.797,2.9978747025
44.919,2.9974947013
45.042,2.9975474034
45.164,2.9976074907
45.286,2.9973941809
45.409,2.9973440666
45.531,2.9971295398
45.653,2.9970719649
45.776,2.9970424731
45.898,2.9967810627
46.020,2.9967149484
46.142,2.9969108569
46.265,2.9966644577
46.387,2.9965730783
46.509,2.9967180780
46.632,2.9965934945
46.754,2.9963072439
46.876,2.9963146195
46.999,2.9962468667
47.121,2.9961805249
47.243,2.9959304388
47.366,2.9960885642
47.488,2.9958857656
47.610,2.9959015220
47.733,2.9958292757
47.855,2.9957328764
47.977,2.9958175255
48.100,2.9955713518
48.222,2.9955744777
48.344,2.9953003791
48.466,2.9952185341
48.589,2.9951510315
48.711,2.9950813756
48.833,2.9951965022
48.956,2.9950500454
49.078,2.9951764148
49.200,2.9949596597
49.323,2.9949149424
49.445,2.9947053508
49.567,2.9945644630
49.690,2.9943131201
49.812,2.9945125176
49.934,2.9943000806
50.057,2.9944686932
50.179,2.9945194045
50.301,2.9943579143
50.424,2.9944168355
