Time (s),Voltage (V)
0.101,4.8824380639
0.222,4.7168891595
0.343,4.5373566130
0.464,4.3447692613
0.585,4.1420318887
0.706,3.9322186861
0.828,3.7187289899
0.950,3.5075124389
1.072,3.3024806870
1.193,3.1091491097
1.314,2.9306112009
1.435,2.7668444638
1.557,2.6172079644
1.679,2.4840681193
1.801,2.3644501244
1.922,2.2575273823
2.043,2.1626688266
2.164,2.0787833877
2.285,2.0041529373
2.406,1.9381488385
2.528,1.8792825226
2.650,1.8264501135
2.772,1.7794128077
2.893,1.7376655611
3.014,1.7001603468
3.135,1.6665638223
3.256,1.6363176077
3.377,1.6091166764
3.499,1.5841049787
3.621,1.5610406119
3.743,1.5400322429
3.864,1.5209802539
3.985,1.5038677051
4.106,1.4877482039
4.227,1.4730675791
4.348,1.4593798470
4.470,1.4467368242
4.592,1.4349412971
4.714,1.4238717703
4.835,1.4134316599
4.956,1.4039937469
5.077,1.3944574432
5.199,1.3859547447
5.321,1.3778464887
5.443,1.3702494872
5.564,1.3630801525
5.685,1.3561085953
5.806,1.3497286225
5.927,1.3436255550
6.048,1.3376606674
6.170,1.3320405272
6.292,1.3265878688
6.414,1.3212999738
6.535,1.3161514347
6.656,1.3113414505
6.777,1.3069243653
6.898,1.3024637348
7.019,1.2981437601
7.141,1.2942782005
7.263,1.2899435885
7.385,1.2861532712
7.506,1.2827582312
7.627,1.2790132947
7.748,1.2753449089
7.870,1.2720360960
7.992,1.2687824612
8.114,1.2655281621
8.235,1.2625864995
8.356,1.2596637563
8.477,1.2565682503
8.599,1.2538541339
8.721,1.2508142567
8.843,1.2480182328
8.964,1.2452039624
9.085,1.2421230750
9.206,1.2390897721
9.327,1.2360109556
9.448,1.2330602483
9.570,1.2300226255
9.692,1.2273235641
9.814,1.2251808550
9.935,1.2235143578
10.056,1.2219613406
10.179,1.2207727041
10.302,1.2190545958
10.424,1.2169535767
10.547,1.2150751991
10.669,1.2129498523
10.791,1.2109292357
10.913,1.2092768480
11.036,1.2071300526
11.158,1.2054169605
11.280,1.2036036423
11.403,1.2016126655
11.525,1.2000727257
11.647,1.1984316616
11.770,1.1966588898
11.892,1.1952491405
12.014,1.1935405871
12.137,1.1920367305
12.259,1.1907203147
12.381,1.1890240544
12.504,1.1874104772
12.626,1.1860757890
12.748,1.1845276137
12.870,1.1831429229
12.993,1.1818153036
13.115,1.1803445103
13.237,1.1788535938
13.360,1.1774660796
13.482,1.1762717344
13.605,1.1751611410
13.728,1.1739617886
13.851,1.1729814434
13.974,1.1718354244
14.096,1.1706783942
14.219,1.1693585365
14.341,1.1681175071
14.463,1.1670087114
14.586,1.1656971095
14.709,1.1645794234
14.832,1.1633836267
14.955,1.1622881476
15.077,1.1613630455
15.200,1.1602261214
