Time (s),Voltage (V)
0.101,4.8536092340
0.223,4.6866952907
0.344,4.5083014699
0.465,4.3189171747
0.586,4.1208610384
0.708,3.9183199196
0.830,3.7154902453
0.952,3.5184305713
1.073,3.3326249008
1.194,3.1621035933
1.315,3.0085493984
1.436,2.8728158809
1.557,2.7544942254
1.679,2.6531871573
1.801,2.5676337727
1.923,2.4967006918
2.044,2.4389793062
2.165,2.3917645524
2.286,2.3538777738
2.408,2.3232364575
2.530,2.2989481494
2.652,2.2799120003
2.773,2.2650065563
2.894,2.2535783431
3.015,2.2446382698
3.137,2.2381221732
3.259,2.2334038932
3.381,2.2298045238
3.502,2.2271699246
3.623,2.2256098904
3.744,2.2246024881
3.865,2.2243654409
3.986,2.2241686134
4.107,2.2245912038
4.228,2.2252020322
4.350,2.2258762595
4.472,2.2265952339
4.594,2.2275008729
4.715,2.2286327023
4.836,2.2295070548
4.957,2.2306439033
5.079,2.2316253995
5.201,2.2327724009
5.323,2.2340994894
5.444,2.2349741603
5.565,2.2362069839
5.686,2.2369575877
5.807,2.2379676597
5.928,2.2387020587
6.050,2.2396856555
6.172,2.2403680386
6.294,2.2411904788
6.415,2.2420580263
6.536,2.2425820346
6.657,2.2432783850
6.778,2.2439861701
6.899,2.2445542733
7.021,2.2452083224
7.143,2.2459164412
7.265,2.2462751506
7.386,2.2465730783
7.507,2.2471730071
7.628,2.2474197930
7.750,2.2479546486
7.872,2.2481941777
7.994,2.2485610706
8.115,2.2489008507
8.236,2.2494444028
8.357,2.2499944905
8.478,2.2500074337
8.599,2.2502536419
8.721,2.2501375210
8.843,2.2501759449
8.965,2.2505373822
9.086,2.2506046699
9.207,2.2509586667
9.328,2.2507437853
9.449,2.2510522757
9.570,2.2510440351
9.692,2.2511498280
9.814,2.2509629234
9.936,2.2511838774
10.057,2.2510605827
10.179,2.2511018687
10.302,2.2513054495
10.424,2.2512589254
10.546,2.2513593662
10.669,2.2512208396
10.791,2.2510798660
10.913,2.2512354369
11.036,2.2507486615
11.158,2.2507217472
11.280,2.2507025412
11.403,2.2507022625
11.525,2.2503718926
11.647,2.2502866897
11.770,2.2500171949
11.892,2.2499118477
12.014,2.2498539977
12.136,2.2496725514
12.259,2.2495559343
12.381,2.2495564836
12.503,2.2493971530
12.626,2.2492011184
12.748,2.2490923065
12.870,2.2486921333
12.993,2.2484682871
13.115,2.2483719367
13.237,2.2481578605
13.360,2.2477190797
13.482,2.2477658895
13.604,2.2475602461
13.727,2.2472578191
13.849,2.2469380840
13.971,2.2467836228
14.094,2.2467515241
14.216,2.2462259785
14.338,2.2461529606
14.461,2.2458221794
14.583,2.2454945897
14.705,2.2450951494
14.827,2.2449122911
14.950,2.2444943491
15.072,2.2440690012
15.194,2.2439649209
15.317,2.2435499930
15.439,2.2435097849
15.561,2.2430437134
15.684,2.2426793294
15.806,2.2427012628
15.928,2.2421913556
16.051,2.2416449046
16.173,2.2416461896
16.295,2.2414450261
16.418,2.2408820505
16.540,2.2404726618
16.662,2.2401892097
