Time (s),Voltage (V)
0.101,4.8454371617
0.223,4.6833932546
0.344,4.5101127248
0.465,4.3230456085
0.586,4.1247644680
0.707,3.9183696169
0.828,3.7091914745
0.950,3.5014895375
1.071,3.3005775701
1.192,3.1108266246
1.314,2.9337683310
1.435,2.7711978799
1.556,2.6245096538
1.677,2.4926916211
1.798,2.3751957530
1.919,2.2710022920
2.040,2.1788631898
2.161,2.0962426303
2.283,2.0184488182
2.405,1.9558855622
2.527,1.8997441297
2.648,1.8492967097
2.769,1.8052296064
2.890,1.7699981819
3.011,1.7409353415
3.132,1.7074049655
3.254,1.6788852944
3.376,1.6579262504
3.498,1.6385968597
3.619,1.6208334252
3.740,1.6047341944
3.861,1.5903482798
3.983,1.5775604546
4.105,1.5659029657
4.227,1.5553994632
4.348,1.5459755708
4.469,1.5375311663
4.590,1.5302210971
4.711,1.5234553958
4.832,1.5172754622
4.954,1.5119474059
5.075,1.5067274917
5.196,1.5020473112
5.318,1.4979050279
5.439,1.4940717560
5.560,1.4904940024
5.681,1.4874135005
5.802,1.4843942724
5.923,1.4813971042
6.044,1.4790571808
6.165,1.4766693546
6.287,1.4743092301
6.409,1.4723671002
6.531,1.4704044278
6.652,1.4683119931
6.773,1.4667709949
6.894,1.4651743212
7.015,1.4635373533
7.136,1.4620525879
7.258,1.4605421273
7.380,1.4590853046
7.502,1.4579218859
7.623,1.4567957180
7.744,1.4554621974
7.865,1.4544169825
7.986,1.4533119428
8.107,1.4522401451
8.229,1.4508720029
8.351,1.4501012024
8.473,1.4491982913
8.594,1.4478799365
8.715,1.4469795668
8.836,1.4460450596
8.958,1.4453275072
9.080,1.4442213687
9.202,1.4434848551
9.323,1.4426334957
9.444,1.4416383453
9.565,1.4408222408
9.686,1.4398198522
9.807,1.4390967596
9.929,1.4383013870
10.051,1.4373867951
10.174,1.4365455391
10.297,1.4356833426
10.419,1.4349022611
10.541,1.4340294302
10.664,1.4333688513
10.786,1.4332824621
10.908,1.4334387007
11.031,1.4343282189
11.154,1.4336564900
11.277,1.4331811871
11.400,1.4320846907
11.522,1.4314640947
11.645,1.4307746013
11.767,1.4300538831
11.889,1.4295043084
12.011,1.4285971980
12.134,1.4286143184
12.256,1.4287412399
12.378,1.4280835801
12.501,1.4279292508
12.623,1.4280539272
12.745,1.4274598029
12.868,1.4274816369
12.990,1.4266489995
13.112,1.4264780078
13.235,1.4263598728
13.357,1.4256503989
13.479,1.4254094622
13.602,1.4248532700
13.724,1.4240967141
13.846,1.4233012880
13.969,1.4238256686
14.091,1.4229961874
14.213,1.4225306329
14.335,1.4218871175
14.458,1.4203320968
14.580,1.4194811134
14.702,1.4190932014
14.825,1.4184051735
14.947,1.4179012584
15.069,1.4163199402
15.192,1.4159651320
15.314,1.4159302274
15.436,1.4169808962
15.559,1.4170841667
15.681,1.4168627138
15.803,1.4159247435
15.926,1.4152786997
16.048,1.4148985697
16.170,1.4146730581
16.293,1.4143152381
16.415,1.4140225560
16.537,1.4138096843
16.660,1.4134841501
16.782,1.4129509542
16.904,1.4127581210
17.026,1.4126392414
17.149,1.4123951383
17.271,1.4122826006
17.394,1.4123705741
17.517,1.4117643047
17.640,1.4114766149
17.763,1.4115954378
17.885,1.4109978673
18.008,1.4104586623
18.130,1.4100226441
18.252,1.4096553004
18.375,1.4090421281
18.498,1.4084308987
18.621,1.4077807392
18.744,1.4070865467
18.866,1.4063312425
18.989,1.4053807011
19.111,1.4043781404
19.233,1.4033004838
19.356,1.4021614292
19.478,1.4009539735
19.600,1.3999085420
19.722,1.3989615830
19.845,1.3980482943
19.967,1.3970986865
20.089,1.3960809164
20.212,1.3949641254
20.334,1.3938935230
20.456,1.3930005860
20.579,1.3920573644
20.701,1.3915533542
20.823,1.3909364755
20.946,1.3902409800
