Time (s),Voltage (V)
0.101,4.8085706165
0.223,4.6589287273
0.345,4.5025696142
0.466,4.3331124934
0.587,4.1605829971
0.708,3.9917178134
0.829,3.8288518466
0.950,3.6777299686
1.072,3.5422860567
1.194,3.4237271954
1.316,3.3247956857
1.437,3.2440345667
1.558,3.1790537118
1.679,3.1285815554
1.801,3.0894764817
1.923,3.0590015603
2.045,3.0360277911
2.166,3.0197309701
2.287,3.0067786708
2.408,2.9981722166
2.529,2.9919801835
2.650,2.9872306053
2.772,2.9840628493
2.894,2.9818790372
3.016,2.9804660222
3.137,2.9798971373
3.258,2.9797614511
3.379,2.9798007206
3.500,2.9802694178
3.621,2.9808454949
3.743,2.9813656377
3.865,2.9821422726
3.987,2.9827819483
4.108,2.9837069706
4.229,2.9843964750
4.350,2.9855609243
4.471,2.9859988415
4.592,2.9866784317
4.714,2.9875104232
4.836,2.9880793907
4.957,2.9891310935
5.078,2.9900735877
5.199,2.9907935913
5.320,2.9915080085
5.441,2.9922536142
5.562,2.9930787131
5.683,2.9937107282
5.805,2.9943919282
5.927,2.9947939399
6.049,2.9955427287
6.170,2.9964201891
6.291,2.9969855137
6.412,2.9975744336
6.533,2.9982079376
6.654,2.9988166133
6.776,2.9992351761
6.898,2.9997081224
7.020,3.0001909480
7.141,3.0006818032
7.262,3.0012777633
7.383,3.0015265330
7.505,3.0022243469
7.626,3.0022305700
7.747,3.0028690999
7.869,3.0032993082
7.991,3.0037957730
8.112,3.0041252534
8.233,3.0044343151
8.354,3.0049676352
8.476,3.0052408036
8.598,3.0057666288
8.720,3.0062426349
8.841,3.0062202486
8.962,3.0064923373
9.083,3.0071651313
9.204,3.0072770013
9.325,3.0077656823
9.447,3.0081372023
9.569,3.0083157843
9.691,3.0084726344
9.812,3.0089543481
9.933,3.0091918567
10.054,3.0094598466
10.176,3.0099275592
10.299,3.0100314640
10.421,3.0103868234
10.543,3.0105609754
10.666,3.0108693753
10.788,3.0113124229
10.910,3.0114835598
11.033,3.0115257847
11.155,3.0117173726
11.277,3.0120426184
11.400,3.0122449693
11.522,3.0126925577
11.644,3.0127145904
11.767,3.0128931906
11.889,3.0130589408
12.011,3.0130107325
12.133,3.0131979145
12.256,3.0133831095
12.378,3.0137418262
12.501,3.0140245074
12.623,3.0143288853
12.745,3.0145947197
12.867,3.0145817911
12.990,3.0146427059
13.112,3.0149032528
13.234,3.0150885240
13.357,3.0152377048
13.479,3.0152117860
13.601,3.0155443083
13.724,3.0156198142
13.846,3.0155960750
13.968,3.0156806305
14.091,3.0156839540
14.213,3.0162820103
14.335,3.0161377917
14.458,3.0161356619
14.580,3.0163453698
14.702,3.0164806626
14.825,3.0166869912
14.947,3.0167282815
15.069,3.0167902636
15.191,3.0168496964
15.314,3.0170445365
15.436,3.0172200062
15.558,3.0170755230
15.681,3.0173543181
15.803,3.0172751014
15.925,3.0175092754
16.048,3.0172738021
