Time (s),Voltage (V)
0.101,4.8981303442
0.222,4.7453792928
0.343,4.5876509609
0.464,4.4242562487
0.585,4.2594483661
0.707,4.1000958827
0.828,3.9514600545
0.949,3.8163283123
1.071,3.6975438635
1.192,3.5988201362
1.313,3.5174958041
1.434,3.4522420993
1.555,3.3995759511
1.676,3.3500570235
1.797,3.3244491934
1.918,3.3081288776
2.040,3.2923171626
2.162,3.2810426851
2.284,3.2738043929
2.405,3.2699389545
2.526,3.2670076605
2.647,3.2649032528
2.768,3.2631228855
2.889,3.2621566334
3.011,3.2618442652
3.133,3.2615059794
3.255,3.2618346827
3.376,3.2623716282
3.497,3.2626245551
3.618,3.2635382691
3.739,3.2641649744
3.860,3.2648417671
3.982,3.2655592410
4.104,3.2666315686
4.226,3.2674853788
4.347,3.2683384388
4.468,3.2692377581
4.589,3.2701844949
4.711,3.2712265232
4.833,3.2718608153
4.955,3.2725877815
5.076,3.2733355739
5.197,3.2742072967
5.318,3.2749484860
5.439,3.2758578442
5.560,3.2763961043
5.682,3.2771530215
5.804,3.2779588753
5.926,3.2785603614
6.047,3.2790296633
6.168,3.2798472411
6.289,3.2805406492
6.410,3.2811426249
6.531,3.2815047435
6.653,3.2820549342
6.775,3.2826452841
6.897,3.2831553880
7.018,3.2836659247
7.139,3.2841215948
7.260,3.2847448049
7.382,3.2852160061
7.504,3.2855722438
7.626,3.2863646779
7.747,3.2866713681
7.868,3.2871570055
7.989,3.2877002711
8.110,3.2880283955
8.231,3.2884227497
8.353,3.2887659022
8.475,3.2890365856
8.597,3.2896858087
8.718,3.2900294208
8.839,3.2903314531
8.960,3.2909302515
9.082,3.2912107192
9.204,3.2916539368
9.326,3.2920140101
9.447,3.2924701384
9.568,3.2927969499
9.689,3.2929673726
9.810,3.2933462147
9.931,3.2936484331
10.053,3.2940375389
10.176,3.2947439212
10.298,3.2946808335
10.420,3.2951300761
10.543,3.2954562823
10.665,3.2960072505
10.787,3.2959328623
10.910,3.2961345265
11.032,3.2966394680
11.154,3.2968292839
11.277,3.2971853274
11.399,3.2974300842
11.521,3.2978220949
