Time (s),Voltage (V)
0.101,4.8921125705
0.222,4.7252505969
0.343,4.5465044847
0.464,4.3551782867
0.585,4.1534021058
0.707,3.9440300625
0.829,3.7318613063
0.951,3.5222536226
1.072,3.3203689726
1.193,3.1297699310
1.314,2.9518694590
1.436,2.7883792610
1.558,2.6394274834
1.680,2.5051119501
1.801,2.3854116163
1.922,2.2793180747
2.043,2.1847232017
2.164,2.1006638533
2.285,2.0261923096
2.407,1.9594853442
2.529,1.9000046373
2.651,1.8464887395
2.772,1.7991435450
2.893,1.7566244912
3.014,1.7181701230
3.135,1.6834717829
3.256,1.6516574573
3.378,1.6227882046
3.500,1.5962868802
3.622,1.5718346281
3.743,1.5488501631
3.864,1.5281922884
3.985,1.5088524041
4.107,1.4909686387
4.229,1.4738987758
4.351,1.4581264730
4.472,1.4433579976
4.593,1.4291346560
4.714,1.4158792644
4.835,1.4032558875
4.956,1.3908756832
5.077,1.3795183906
5.198,1.3687545165
5.320,1.3583318599
5.442,1.3481322560
5.563,1.3386399198
5.684,1.3293804624
5.805,1.3202023096
5.926,1.3115355516
6.047,1.3032703002
6.169,1.2953137006
6.291,1.2874135278
6.413,1.2797565141
6.534,1.2724595601
6.655,1.2653752841
6.776,1.2584901710
6.897,1.2516863392
7.018,1.2448720138
7.139,1.2384268946
7.260,1.2321023228
7.381,1.2262809263
7.502,1.2203148133
7.624,1.2146064289
7.746,1.2090075615
7.867,1.2034900057
7.988,1.1982231904
8.109,1.1929709538
8.230,1.1881877511
8.351,1.1830685654
8.473,1.1783540379
8.595,1.1734953300
8.717,1.1688853003
8.838,1.1642746165
8.959,1.1599370947
9.080,1.1556852742
9.201,1.1515824883
9.322,1.1474265127
9.444,1.1435440460
9.566,1.1394888595
9.688,1.1357967441
9.809,1.1320136195
9.930,1.1284527968
10.051,1.1246391264
10.173,1.1211700353
10.296,1.1178160700
10.418,1.1144313624
10.540,1.1112102545
10.663,1.1081364196
10.785,1.1049040242
10.907,1.1016718331
11.030,1.0987733742
11.152,1.0956039536
11.274,1.0929623608
11.397,1.0900694675
11.519,1.0873286539
11.641,1.0844084884
11.764,1.0819400896
11.886,1.0791855827
12.008,1.0765010688
12.130,1.0741912102
12.253,1.0716190413
12.375,1.0692725780
12.497,1.0669372180
12.620,1.0647301543
12.742,1.0622493168
12.864,1.0602464154
12.987,1.0578562788
13.109,1.0556062125
13.231,1.0537538996
13.354,1.0513372192
13.476,1.0494796258
13.598,1.0472586299
13.721,1.0455209680
13.843,1.0437221769
13.965,1.0415744082
14.088,1.0398439138
14.210,1.0379275388
14.332,1.0360210008
14.455,1.0344002192
14.577,1.0323890934
14.699,1.0306673682
14.821,1.0290589308
14.944,1.0274103462
15.066,1.0256440629
15.188,1.0241306776
15.311,1.0224620292
15.433,1.0207832885
15.555,1.0194172351
15.678,1.0176488152
15.800,1.0163839364
15.922,1.0148814245
16.045,1.0133446256
16.167,1.0118027702
16.289,1.0103896776
16.412,1.0088807688
16.534,1.0073221527
16.656,1.0058538670
16.779,1.0047348816
16.901,1.0033594301
17.023,1.0018743611
17.146,1.0007677670
17.268,0.9993168195
17.390,0.9979683643
17.512,0.9968813892
17.635,0.9954223292
17.757,0.9941893705
17.880,0.9928526433
18.003,0.9916596652
18.126,0.9905547115
18.249,0.9895569496
18.371,0.9880223025
18.493,0.9872396935
18.616,0.9860374489
18.738,0.9848543283
18.860,0.9835314549
18.983,0.9824060448
19.105,0.9813061971
19.227,0.9803037864
19.350,0.9791362799
19.472,0.9779068230
19.594,0.9770017603
19.717,0.9761817553
19.839,0.9749798903
19.961,0.9738594653
20.084,0.9728860615
20.206,0.9717637077
20.328,0.9709512589
20.451,0.9698209981
20.573,0.9686494513
20.695,0.9679025993
20.818,0.9669115078
20.940,0.9660365612
21.062,0.9648437500
21.184,0.9640704315
21.307,0.9630849549
21.429,0.9621978028
21.551,0.9612035348
21.674,0.9605084457
21.796,0.9594623259
21.918,0.9583738169
22.041,0.9575470977
22.163,0.9569362108
22.285,0.9560315540
22.408,0.9550633865
22.530,0.9541359970
22.652,0.9532362609
22.775,0.9524691365
22.897,0.9517696580
23.019,0.9509504547
23.142,0.9500645765
23.264,0.9489790859
23.386,0.9482545839
23.508,0.9475162375
23.631,0.9469149031
23.753,0.9460452662
23.875,0.9453722614
23.998,0.9442960889
24.120,0.9435411892
24.242,0.9428069259
24.365,0.9420812190
24.487,0.9414434393
24.609,0.9405114808
24.732,0.9397899272
24.854,0.9391404597
24.976,0.9382079734
25.098,0.9377547435
25.221,0.9371861244
25.343,0.9364534863
25.466,0.9356017350
25.588,0.9349587337
25.710,0.9340882295
25.832,0.9335246250
25.955,0.9327959601
26.077,0.9320290462
26.199,0.9311093816
26.322,0.9304637280
26.444,0.9295883286
26.566,0.9289364887
26.689,0.9281888123
26.811,0.9275649572
26.933,0.9270458792
27.056,0.9264215562
27.178,0.9256958524
27.300,0.9250464872
27.423,0.9242571793
27.545,0.9235774418
27.667,0.9230057856
27.790,0.9224135013
27.912,0.9218708679
28.034,0.9211509778
28.157,0.9205302478
28.279,0.9198295905
