Time (s),Voltage (V)
0.101,4.7060800170
0.222,4.5390569905
0.343,4.3591263854
0.464,4.1683039098
0.586,3.9685014254
0.708,3.7655854465
0.830,3.5652182808
0.951,3.3728760799
1.072,3.1927165012
1.193,3.0279773449
1.314,2.8796493406
1.435,2.7488196427
1.557,2.6348332940
1.679,2.5369102435
1.801,2.4537578561
1.922,2.3848634190
2.043,2.3275872987
2.164,2.2804772898
2.285,2.2417478129
2.406,2.2105329398
2.528,2.1846336158
2.650,2.1634869282
2.772,2.1466766869
2.893,2.1333083568
3.014,2.1228533246
3.135,2.1145538657
3.257,2.1076860025
3.379,2.1025854356
3.501,2.0984527758
3.622,2.0955185561
3.743,2.0931200663
3.864,2.0914552847
3.985,2.0902691205
4.106,2.0895862526
4.228,2.0889842440
4.350,2.0887403435
4.472,2.0887185209
4.593,2.0889787553
4.714,2.0890425668
4.835,2.0893740634
4.956,2.0898905545
5.077,2.0903077962
5.199,2.0908383212
5.321,2.0912035724
5.443,2.0917450463
5.564,2.0922445235
5.685,2.0927841750
5.806,2.0933839956
5.928,2.0938697851
6.049,2.0942063531
6.170,2.0945627005
6.292,2.0949188744
6.413,2.0956921060
6.534,2.0959021819
6.655,2.0961604152
6.776,2.0964486934
6.897,2.0967802362
7.018,2.0969181152
7.139,2.0970591864
7.261,2.0976543400
7.383,2.0976453387
7.505,2.0977394488
7.626,2.0979427451
7.747,2.0981088772
7.868,2.0981231819
7.989,2.0984433919
8.110,2.0985146666
8.232,2.0985002030
8.354,2.0984759624
8.476,2.0985196076
8.597,2.0983504496
8.718,2.0985122220
8.839,2.0985873590
8.960,2.0983470296
9.081,2.0983081179
9.203,2.0982573585
9.325,2.0982754670
9.447,2.0981731734
9.568,2.0980680867
9.689,2.0978349331
9.810,2.0978013849
9.932,2.0976379684
10.054,2.0974734855
10.177,2.0973555593
10.300,2.0971816155
10.422,2.0969482766
10.544,2.0965763840
10.666,2.0964354092
10.789,2.0962795644
10.911,2.0960543569
11.033,2.0958584497
11.156,2.0956245196
11.278,2.0952637407
11.400,2.0950914653
11.523,2.0949162525
11.645,2.0951852301
11.767,2.0949537661
11.890,2.0948316426
12.012,2.0947031470
12.134,2.0942694013
12.257,2.0939364148
12.379,2.0938960023
12.501,2.0932376146
12.623,2.0926679599
12.746,2.0923697662
12.868,2.0918574797
12.990,2.0914809931
13.113,2.0912220733
13.235,2.0909070874
13.357,2.0904757892
13.480,2.0901480729
13.602,2.0891702111
13.724,2.0880550378
13.847,2.0878376756
13.969,2.0876041299
14.091,2.0871517313
14.214,2.0866545010
14.336,2.0862832224
14.458,2.0860225981
14.581,2.0856460051
14.703,2.0851537707
14.825,2.0847585197
14.948,2.0845133236
15.070,2.0842736248
15.192,2.0839706012
15.314,2.0834820484
15.437,2.0831595645
15.559,2.0828411495
15.681,2.0823653082
15.804,2.0820200597
15.926,2.0815574312
16.048,2.0810805749
16.171,2.0807372637
16.293,2.0803659974
16.415,2.0798839692
16.538,2.0795540892
16.660,2.0791456387
16.782,2.0786956254
16.905,2.0784487013
17.027,2.0778619204
17.149,2.0776133099
17.272,2.0773310312
17.394,2.0768523008
17.516,2.0763426701
17.638,2.0757447322
17.761,2.0754232135
17.883,2.0749721769
18.005,2.0748758504
18.128,2.0744297290
18.250,2.0738358383
18.372,2.0734974818
18.495,2.0729695251
18.617,2.0723413809
18.739,2.0719277112
18.862,2.0714110646
18.984,2.0711416828
19.106,2.0706553709
19.229,2.0703575343
19.351,2.0701472144
19.473,2.0695565316
19.596,2.0690911145
19.718,2.0687078522
19.840,2.0683640568
19.963,2.0677837545
20.085,2.0675522303
20.207,2.0670563734
20.329,2.0666896349
20.452,2.0663017158
20.574,2.0658346373
20.696,2.0657050858
20.819,2.0650926124
20.941,2.0646955439
21.063,2.0644231066
21.186,2.0640227060
21.308,2.0635027327
21.430,2.0631342424
21.553,2.0627016992
21.675,2.0625853976
21.797,2.0619761924
21.920,2.0616386162
22.042,2.0611804699
22.164,2.0608553211
22.287,2.0604881939
22.409,2.0601391705
22.531,2.0598845420
22.654,2.0594933447
22.776,2.0590496628
22.898,2.0587604130
23.020,2.0583092635
23.143,2.0579703658
23.265,2.0574725626
23.387,2.0572214401
23.510,2.0567735445
23.632,2.0562287883
23.754,2.0559394608
23.877,2.0553911272
23.999,2.0550869402
24.121,2.0547166922
24.244,2.0543539731
24.366,2.0541241515
24.488,2.0537624370
24.611,2.0530820946
24.733,2.0529299630
24.855,2.0525176365
24.978,2.0521459265
25.100,2.0516297161
25.222,2.0514010711
25.344,2.0510470094
25.467,2.0506488764
25.589,2.0503570169
25.711,2.0499853488
25.834,2.0496458392
25.956,2.0494424365
26.078,2.0489691289
26.201,2.0486523547
26.323,2.0481353028
26.445,2.0479281232
26.568,2.0476684229
26.690,2.0473322902
26.812,2.0470261937
26.935,2.0467322548
27.057,2.0463281801
27.179,2.0460017119
27.302,2.0458110982
27.424,2.0455113937
27.546,2.0451438461
27.669,2.0444764446
27.791,2.0443998479
27.913,2.0441409005
28.035,2.0437599694
28.158,2.0433710566
28.280,2.0430238452
28.402,2.0427396186
28.525,2.0425426980
28.647,2.0421863981
28.769,2.0417688394
28.892,2.0414141105
29.014,2.0412277415
29.136,2.0408545170
29.259,2.0405980340
29.381,2.0404150873
29.503,2.0400902866
29.626,2.0397314644
29.748,2.0393489951
29.870,2.0388688950
29.993,2.0386520053
30.115,2.0383517719
30.237,2.0380267102
30.359,2.0375827847
30.482,2.0374565487
30.604,2.0371259036
30.726,2.0366877401
30.849,2.0365353921
30.971,2.0362058136
31.093,2.0358491522
31.216,2.0356101414
31.338,2.0352802142
31.460,2.0351193466
31.583,2.0347872415
31.705,2.0346535063
31.827,2.0342298100
31.950,2.0340339401
32.072,2.0335254319
32.194,2.0333609282
32.317,2.0331687352
32.439,2.0328133264
32.561,2.0325760430
32.684,2.0321943561
32.806,2.0319868984
32.928,2.0317141771
33.050,2.0314235010
33.173,2.0310794154
33.295,2.0308574467
33.417,2.0305422263
33.540,2.0301377887
33.662,2.0304951957
33.784,2.0295879710
33.907,2.0295482484
34.029,2.0291288346
34.151,2.0289738328
34.274,2.0285588580
34.396,2.0283657660
34.518,2.0280030536
34.641,2.0276800063
34.763,2.0274387892
34.885,2.0271066320
35.008,2.0269417163
35.130,2.0265090577
35.252,2.0263933577
35.374,2.0261661467
35.497,2.0258240463
35.619,2.0256784974
35.741,2.0251540578
35.864,2.0250721095
35.986,2.0247033123
36.108,2.0245867373
36.231,2.0242846912
36.353,2.0239498854
36.475,2.0235471085
36.598,2.0233962868
36.720,2.0230780038
36.842,2.0230128358
36.965,2.0226743729
37.087,2.0225063910
37.209,2.0223518798
37.332,2.0220793740
37.454,2.0218163236
37.576,2.0215325833
37.698,2.0211594050
37.821,2.0211609467
37.943,2.0206193803
38.065,2.0206099853
38.188,2.0204212920
38.310,2.0200587866
38.432,2.0199930930
38.555,2.0199122677
38.677,2.0194417203
38.799,2.0192536485
38.922,2.0190525215
39.044,2.0186455946
39.166,2.0185059420
39.289,2.0181927753
39.411,2.0181855496
39.533,2.0178862957
39.656,2.0175868589
39.778,2.0174858405
39.900,2.0173079592
40.023,2.0170860227
40.145,2.0168880576
40.267,2.0166456387
40.389,2.0163385571
40.512,2.0162508406
40.634,2.0158192106
40.756,2.0156665851
40.879,2.0155357502
41.001,2.0154059966
41.123,2.0151033956
41.246,2.0148097423
41.368,2.0147462315
41.490,2.0143377882
41.613,2.0140578055
41.735,2.0141622223
41.857,2.0137374198
41.980,2.0134778180
42.102,2.0133743609
42.224,2.0130805948
42.347,2.0130029106
42.469,2.0126939351
42.591,2.0124595715
42.714,2.0121991161
42.836,2.0120686045
